KBAManufacturerID,KBAManufacturerName,TotalCount
0343,DEUTSCHE WAG.U.M-DWM,63
4049,ROLLER (I),61
2238,DNA MOTORS (ROK),61
0504,RIXE,61
9628,FORD (NL),60
8911,DOEBLITZ,60
6019,GELAENDEF.GES-GFG(A),60
0863,CORSAR WOHNWAGENBAU,59
8718,MICHAELSEN,58
1369,KTM-SPORTCAR (A),58
1353,LIFAN (RC),57
8916,ERFURT-MARBACH AUTOZ,57
0130,WEISSER,56
4007,PGS MOTO ZAP.(I),55
1717,3DOG CAMPING (D),55
9943,OPEN CONCEPTS,54
2015,SCHMIDT (UK),53
7613,AUSA (E),52
0359,KLEPPER-WERKE,51
0803,NIEDERS.WAGGONFABRIK,51
4008,AGRATI-GARELLI (I),50
8927,FINSTERWALDE FIMAG,49
1541,DYNAJET,49
0569,ROEHR,49
1583,MECALAC BAUMASCHINEN,49
4025,INNOCENTI (I),49
4099,CAGIVA (I),49
0919,HANOMAG GMBH,49
4033,OSI (I),49
0775,"BRUNS,BAD ZWISCHENA.",48
9747,DAF (NL),48
0258,LELY-DECHENTREITER,48
8458,"LANSING,VREDEN",48
0279,GOERICKEWERKE,48
0182,FRANKF.MASCH.BAU-FMA,48
0417,GOLIATH-WERK,47
8886,LEIPZIG CHEMIEANL.,47
1401,3DOG CAMPING,46
1800,S.C. POP INDUSTRY (RO),46
0499,"BERGMANN,L.",46
1293,DOOSAN (ROK),45
7466,UNILLI MOTOR (RC),45
1492,CHONGQING HUANSONG (RC),45
1386,DOOSAN (IRL),45
1168,NEW HOLLAND (USA),44
1242,WESTFALIA-TRAILER-SYSTEMS,44
6954,KROEGER + SCHICKLING,44
2269,VERTIGO (E),43
6541,"BERGER,FELLBACH",43
0055,TORNAX-WERK,42
8013,ZTS MARTIN (CS),42
8970,BABELSBERG MASCH-BAU,41
