Id,Name,Code,LookupTable,Description,IsPrivate,GroupName,DataType,MinAllowedValue,MaxAllowedValue,IsQS,Decode,weight
114,Note,Note,NULL,"<p>Note is used to store any additional information that does not correspond to any of the specified fields on the interface. This is a catch-all element for systems other than for engine, restraint system, brake and battery. Engine, restraint system, brake, and battery have their own note elements.</p>",0,General,string,NULL,NULL,NULL,Pattern,NULL
115,Number of Wheels,Wheels,NULL,<p>This field captures the number of wheels on a vehicle.</p>,0,Exterior / Wheel tire,int,1,29,NULL,Pattern,NULL
116,Trailer Type Connection,TrailerType,TrailerType,<p>Trailer Type Connection describes the connector or tongue used for the trailers.</p>,0,Exterior / Trailer,lookup,NULL,NULL,1,Pattern,NULL
117,Trailer Body Type,TrailerBodyType,TrailerBodyType,<p>Trailer Body Type describes the purpose of the trailer or how it is designed to be used.</p>,0,Exterior / Trailer,lookup,NULL,NULL,1,Pattern,NULL
118,Trailer Length (feet),TrailerLength,NULL,<p>Trailer length is the length of the trailer in feet from the front of the connector to the end of the trailer.</p>,0,Exterior / Trailer,decimal,1,999,NULL,Pattern,NULL
119,Wheel Size Front (inches),WheelSizeFront,NULL,<p>This field captures the diameter of the front wheel in inches.</p>,0,Exterior / Wheel tire,int,NULL,NULL,NULL,Pattern,NULL
120,Wheel Size Rear (inches),WheelSizeRear,NULL,<p>This field captures the diameter of the rear wheel in inches.</p>,0,Exterior / Wheel tire,int,NULL,NULL,NULL,Pattern,NULL
121,Other Restraint System Info,OtherRestraintSystemInfo,NULL,<p>Other Restraint Info field is used to code additional information about restraint system that cannot be coded in any other restraint fields.</p>,0,Passive Safety System,string,NULL,NULL,NULL,Pattern,NULL
122,Cooling Type,CoolingType,CoolingType,<p>Cooling type defines the cooling system used to control the engine temperature. It can be either air-cooled or water-cooled.</p>,0,Engine,lookup,NULL,NULL,NULL,Pattern,NULL
125,Engine Brake (hp) To,EngineHP_to,NULL,<p>Engine brake is the horsepower (hp) at the engine output shaft. Engine Brake (hp) To is the upper value of the range.</p>,0,Engine,decimal,NULL,NULL,NULL,Pattern,NULL
126,Electrification Level,ElectrificationLevel,ElectrificationLevel,"<p>Electrification level defines to what level the vehicle is powered by electric system. The common electric system configurations are mild hybrid, strong hybrid, plug-in hybrid, battery electric, and fuel cell vehicles.</p><p>(1) Mild hybrid is the system such as 12-volt start-stop or 48-volt belt integrator starter generator (BISG) system that uses an electric motor to add assisting power to the internal combustion engine. The system has features such as stop-start, power assist, and mild level of generative braking features.</p><p>(2) Strong hybrid systems, in vehicles such as the Toyota Prius, mainly consist of motors, conventional gasoline engine, and battery, but the source of electrical charge for the battery power is provided by the conventional engine and/or regenerative braking.</p><p>(3) Plug-in hybrid systems, in vehicles such as the Toyota Rav4 Prime, mainly consist of motors, conventional gasoline engine and battery. Plug-in hybrid vehicles are like strong hybrids, but they have a larger battery pack and can be charged with an external source of electricity by electric vehicle supply equipment (EVSE).</p><p>(4) Battery electric vehicles (BEV), such as the Tesla Model S or Nissan Leaf, have only a battery and electrical motor components and use electricity as the only power source.</p><p>(5) Fuel cell electric vehicles (FCEV) use full electric drive platforms but consume electricity generated by onboard fuel cells and hydrogen fuel.</p>",0,Engine,lookup,NULL,NULL,NULL,Pattern,NULL
